dt,encounter_no,ID,age,photo,Expr1005,side,facing,cell,aspect,aspect_letter,AutoMatch,off_square,tagged,pcb,scale,comments,image,image_no,gender,SightingID,Location
2015-06-02 00:00:00,38750,Calavera,adult,001-0206\DSC_0001,001-0206\DSC_0001p54,R,R,001-0206\DSC_0001p54_FL,Flank,FL,L,15,TRUE,1,0.5080562,right,001-0206\DSC_0001p54,40068,female,20,field
2015-06-03 00:00:00,38607,Chocolate,adult,001-0306\DSCN3077,001-0306\DSCN3077p32,L,L,001-0306\DSCN3077p32_FL,Flank,FL,L,11,TRUE,1,1.304662,left,001-0306\DSCN3077p32,39925,female,21,field
2015-06-03 00:00:00,38607,Chocolate,adult,001-0306\DSCN3079,001-0306\DSCN3079p45,R,R,001-0306\DSCN3079p45_FL,Flank,FL,L,2,TRUE,1,0.9524591,right,001-0306\DSCN3079p45,39926,female,21,field
2015-06-08 00:00:00,39818,Hole,adult,001-0806\DSCN4628,001-0806\DSCN4628p13,L,L,001-0806\DSCN4628p13_FL,Flank,FL,L,3,TRUE,2,0.9338632,Left Flank,001-0806\DSCN4628p13,40439,female,28,field
2015-06-09 00:00:00,38826,Sharkbite,pup,001-0906\DSC_0003,001-0906\DSC_0003p54,R,R,001-0906\DSC_0003p54_FL,Flank,FL,L,5,TRUE,1,0.2230279,Right,001-0906\DSC_0003p54,40084,unknown,29,field
2015-06-09 00:00:00,38826,Sharkbite,pup,001-0906\DSCN7035,001-0906\DSCN7035p45,L,L,001-0906\DSCN7035p45_FL,Flank,FL,L,4,TRUE,1,0.4971285,Left,001-0906\DSCN7035p45,40085,unknown,29,field
2015-05-12 00:00:00,38422,Dado,adult,001-1205\DSC_0002,001-1205\DSC_0002p24,L,L,001-1205\DSC_0002p24_FL,Flank,FL,X,31,TRUE,1,0.6194983,Iquierdo,001-1205\DSC_0002p24,39722,female,4,field
2015-05-12 00:00:00,38422,Dado,adult,001-1205\DSC_0002,001-1205\DSC_0002p24,L,L,001-1205\DSC_0002p24_NK,Neck,NK,J,19,TRUE,1,0.2385643,Iquierdo,001-1205\DSC_0002p24,39722,female,4,field
2015-05-13 00:00:00,38431,Dado,adult,001-1305\DSC_0002,001-1305\DSC_0002p25,L,L,001-1305\DSC_0002p25_FL,Flank,FL,L,12,TRUE,10,0.6955221,left,001-1305\DSC_0002p25,39740,female,5,field
2015-05-13 00:00:00,38431,Dado,adult,001-1305\DSCN0860,001-1305\DSCN0860p32,L,L,001-1305\DSCN0860p32_NK,Neck,NK,X,24,TRUE,1,0.5268445,left,001-1305\DSCN0860p32,39739,female,5,field
